Style,Standard
Append Mode,1
Fill Mode,1
Capacity,100000
Count,46
Base Time Seconds,1636658026
Base Time Fractional,.282331440
Index,Reading,Unit,Range Digits,Disp Digits,Math,Start Group,Limit1 High,Limit1 Low,Limit2 High,Limit2 Low,Terminal,Questionable,Origin,Value,Unit,Digits,Output,Sense,Source Limit,Overtemp,Date,Time,Fractional Seconds
1,1.386556414218e-05,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,30.0022144317627,Volt DC,100,T,2W,F,F,11/11/2021,19:13:46,.282331440
2,2.125987703039e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,31.0093135833740,Volt DC,100,T,2W,F,F,11/11/2021,19:13:46,.538365520
3,4.968464781996e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,32.0887031555176,Volt DC,100,T,2W,F,F,11/11/2021,19:13:46,.631125340
4,5.79696134082e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,33.0854110717773,Volt DC,100,T,2W,F,F,11/11/2021,19:13:46,.723885760
5,6.713460606989e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,34.0795707702637,Volt DC,100,T,2W,F,F,11/11/2021,19:13:46,.816649760
6,7.728934724582e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,35.0738258361816,Volt DC,100,T,2W,F,F,11/11/2021,19:13:46,.909412180
7,8.749355038162e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,36.1841316223145,Volt DC,100,T,2W,F,F,11/11/2021,19:13:47,.002175800
8,3.720979657373e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,37.0841140747070,Volt DC,100,T,2W,F,F,11/11/2021,19:13:47,.094920220
9,3.609616760514e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,38.0809555053711,Volt DC,100,T,2W,F,F,11/11/2021,19:13:47,.187659100
10,3.548557288013e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,39.0791015625000,Volt DC,100,T,2W,F,F,11/11/2021,19:13:47,.280411440
11,3.534948336892e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,40.0783843994141,Volt DC,100,T,2W,F,F,11/11/2021,19:13:47,.373155640
12,3.534559073159e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,41.0814628601074,Volt DC,100,T,2W,F,F,11/11/2021,19:13:47,.465923280
13,3.514327909215e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,42.0800323486328,Volt DC,100,T,2W,F,F,11/11/2021,19:13:47,.558680440
14,3.510618262226e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,43.0796813964844,Volt DC,100,T,2W,F,F,11/11/2021,19:13:47,.651413580
15,3.514753188938e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,44.0825538635254,Volt DC,100,T,2W,F,F,11/11/2021,19:13:47,.744145480
16,3.501547689666e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,45.0819435119629,Volt DC,100,T,2W,F,F,11/11/2021,19:13:47,.836883160
17,3.498610021779e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,46.0813179016113,Volt DC,100,T,2W,F,F,11/11/2021,19:13:47,.929610240
18,3.505267886794e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,47.0839920043945,Volt DC,100,T,2W,F,F,11/11/2021,19:13:48,.022356040
19,3.493704571156e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,48.0831794738770,Volt DC,100,T,2W,F,F,11/11/2021,19:13:48,.115087840
20,3.491581810522e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,49.0824775695801,Volt DC,100,T,2W,F,F,11/11/2021,19:13:48,.207832920
21,3.502064282657e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,50.0858383178711,Volt DC,100,T,2W,F,F,11/11/2021,19:13:48,.300564080
22,3.489684968372e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,51.0851402282715,Volt DC,100,T,2W,F,F,11/11/2021,19:13:48,.393308040
23,3.498480509734e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,52.0876884460449,Volt DC,100,T,2W,F,F,11/11/2021,19:13:48,.486044480
24,3.485809429549e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,53.0858345031738,Volt DC,100,T,2W,F,F,11/11/2021,19:13:48,.578787300
25,3.489115260891e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,54.0849266052246,Volt DC,100,T,2W,F,F,11/11/2021,19:13:48,.671508540
26,3.50083973899e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,55.0880928039551,Volt DC,100,T,2W,F,F,11/11/2021,19:13:48,.764242440
27,3.492003816064e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,56.0875167846680,Volt DC,100,T,2W,F,F,11/11/2021,19:13:48,.856978480
28,3.490743620205e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,57.0862426757813,Volt DC,100,T,2W,F,F,11/11/2021,19:13:48,.949717100
29,3.504844426061e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,58.0893554687500,Volt DC,100,T,2W,F,F,11/11/2021,19:13:49,.042451060
30,3.495053897495e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,59.0881271362305,Volt DC,100,T,2W,F,F,11/11/2021,19:13:49,.135180240
31,3.498870501062e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,60.0871505737305,Volt DC,100,T,2W,F,F,11/11/2021,19:13:49,.227933920
32,3.541299156495e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,61.0897026062012,Volt DC,100,T,2W,F,F,11/11/2021,19:13:49,.320668400
33,3.565932638594e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,62.0884666442871,Volt DC,100,T,2W,F,F,11/11/2021,19:13:49,.413407200
34,3.592979919631e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,63.0879058837891,Volt DC,100,T,2W,F,F,11/11/2021,19:13:49,.506138900
35,3.619881317718e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,64.0904159545898,Volt DC,100,T,2W,F,F,11/11/2021,19:13:49,.598866800
36,3.623800876085e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,65.0892639160156,Volt DC,100,T,2W,F,F,11/11/2021,19:13:49,.691602420
37,3.639308488346e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,66.0875549316406,Volt DC,100,T,2W,F,F,11/11/2021,19:13:49,.784330520
38,3.751178519451e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,67.0871200561523,Volt DC,100,T,2W,F,F,11/11/2021,19:13:49,.877071260
39,3.973522689193e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,68.0825042724609,Volt DC,100,T,2W,F,F,11/11/2021,19:13:49,.969799080
40,4.358533624327e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,69.0828628540039,Volt DC,100,T,2W,F,F,11/11/2021,19:13:50,.062568740
41,4.815210559173e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,70.0798568725586,Volt DC,100,T,2W,F,F,11/11/2021,19:13:50,.155319960
42,5.350264473236e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,71.0773315429688,Volt DC,100,T,2W,F,F,11/11/2021,19:13:50,.248068900
43,5.956126915407e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,72.0783843994141,Volt DC,100,T,2W,F,F,11/11/2021,19:13:50,.340826060
44,6.599436164834e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,73.0756378173828,Volt DC,100,T,2W,F,F,11/11/2021,19:13:50,.433588500
45,7.292902591871e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,74.0724105834961,Volt DC,100,T,2W,F,F,11/11/2021,19:13:50,.526346520
46,8.045223512454e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,75.0733718872070,Volt DC,100,T,2W,F,F,11/11/2021,19:13:50,.619103440
