Style,Standard
Append Mode,1
Fill Mode,1
Capacity,100000
Count,49
Base Time Seconds,1636659090
Base Time Fractional,.379730640
Index,Reading,Unit,Range Digits,Disp Digits,Math,Start Group,Limit1 High,Limit1 Low,Limit2 High,Limit2 Low,Terminal,Questionable,Origin,Value,Unit,Digits,Output,Sense,Source Limit,Overtemp,Date,Time,Fractional Seconds
1,1.331049861619e-05,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,30.0021038055420,Volt DC,100,T,2W,F,F,11/11/2021,19:31:30,.379730640
2,2.061595478153e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,31.0088253021240,Volt DC,100,T,2W,F,F,11/11/2021,19:31:30,.635762500
3,4.863386857323e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,32.0891227722168,Volt DC,100,T,2W,F,F,11/11/2021,19:31:30,.728540940
4,5.695595609723e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,33.0855751037598,Volt DC,100,T,2W,F,F,11/11/2021,19:31:30,.821288780
5,6.613392906729e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,34.0793685913086,Volt DC,100,T,2W,F,F,11/11/2021,19:31:30,.914052400
6,7.633700442966e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,35.0732421875000,Volt DC,100,T,2W,F,F,11/11/2021,19:31:31,.006794140
7,8.725604857318e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,36.1350975036621,Volt DC,100,T,2W,F,F,11/11/2021,19:31:31,.099532320
8,3.7832534872e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,37.0911064147949,Volt DC,100,T,2W,F,F,11/11/2021,19:31:31,.192280420
9,3.581193232094e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,38.0821800231934,Volt DC,100,T,2W,F,F,11/11/2021,19:31:31,.285014560
10,3.522788756527e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,39.0805664062500,Volt DC,100,T,2W,F,F,11/11/2021,19:31:31,.377757020
11,3.503714469844e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,40.0797500610352,Volt DC,100,T,2W,F,F,11/11/2021,19:31:31,.470483960
12,3.502922845655e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,41.0825576782227,Volt DC,100,T,2W,F,F,11/11/2021,19:31:31,.563212280
13,3.482997635729e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,42.0811958312988,Volt DC,100,T,2W,F,F,11/11/2021,19:31:31,.655950400
14,3.479501174297e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,43.0808830261230,Volt DC,100,T,2W,F,F,11/11/2021,19:31:31,.748685040
15,3.484250191832e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,44.0838127136230,Volt DC,100,T,2W,F,F,11/11/2021,19:31:31,.841446440
16,3.470661613392e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,45.0830879211426,Volt DC,100,T,2W,F,F,11/11/2021,19:31:31,.934171300
17,3.46697124769e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,46.0824317932129,Volt DC,100,T,2W,F,F,11/11/2021,19:31:32,.026904260
18,3.473761535133e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,47.0851325988770,Volt DC,100,T,2W,F,F,11/11/2021,19:31:32,.119631480
19,3.46222477674e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,48.0841979980469,Volt DC,100,T,2W,F,F,11/11/2021,19:31:32,.212373720
20,3.46038796124e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,49.0835609436035,Volt DC,100,T,2W,F,F,11/11/2021,19:31:32,.305109740
21,3.471249510767e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,50.0869598388672,Volt DC,100,T,2W,F,F,11/11/2021,19:31:32,.397849580
22,3.459360959823e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,51.0861167907715,Volt DC,100,T,2W,F,F,11/11/2021,19:31:32,.490572240
23,3.468211434665e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,52.0887603759766,Volt DC,100,T,2W,F,F,11/11/2021,19:31:32,.583328360
24,3.456641934463e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,53.0868072509766,Volt DC,100,T,2W,F,F,11/11/2021,19:31:32,.676061340
25,3.459299477981e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,54.0860481262207,Volt DC,100,T,2W,F,F,11/11/2021,19:31:32,.768806500
26,3.470738374745e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,55.0890159606934,Volt DC,100,T,2W,F,F,11/11/2021,19:31:32,.861539300
27,3.462314634817e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,56.0884170532227,Volt DC,100,T,2W,F,F,11/11/2021,19:31:32,.954287720
28,3.46157758031e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,57.0872840881348,Volt DC,100,T,2W,F,F,11/11/2021,19:31:33,.047028020
29,3.474647382973e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,58.0903434753418,Volt DC,100,T,2W,F,F,11/11/2021,19:31:33,.139774460
30,3.465972622507e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,59.0891342163086,Volt DC,100,T,2W,F,F,11/11/2021,19:31:33,.232535580
31,3.469325747574e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,60.0882759094238,Volt DC,100,T,2W,F,F,11/11/2021,19:31:33,.325269880
