Style,Standard
Append Mode,1
Fill Mode,1
Capacity,100000
Count,49
Base Time Seconds,1636659185
Base Time Fractional,.138847980
Index,Reading,Unit,Range Digits,Disp Digits,Math,Start Group,Limit1 High,Limit1 Low,Limit2 High,Limit2 Low,Terminal,Questionable,Origin,Value,Unit,Digits,Output,Sense,Source Limit,Overtemp,Date,Time,Fractional Seconds
1,1.312534550379e-05,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,30.0021686553955,Volt DC,100,T,2W,F,F,11/11/2021,19:33:05,.138847980
2,2.036361547653e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,31.0088062286377,Volt DC,100,T,2W,F,F,11/11/2021,19:33:05,.394908700
3,4.83277872263e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,32.0894622802734,Volt DC,100,T,2W,F,F,11/11/2021,19:33:05,.487682740
4,5.659626549459e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,33.0858573913574,Volt DC,100,T,2W,F,F,11/11/2021,19:33:05,.580466600
5,6.573580321856e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,34.0794982910156,Volt DC,100,T,2W,F,F,11/11/2021,19:33:05,.673225560
6,7.59179747547e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,35.0733032226563,Volt DC,100,T,2W,F,F,11/11/2021,19:33:05,.765958820
7,8.692259143572e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,36.0864524841309,Volt DC,100,T,2W,F,F,11/11/2021,19:33:05,.858701060
8,4.030867057736e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,37.1030921936035,Volt DC,100,T,2W,F,F,11/11/2021,19:33:05,.951445900
9,3.5978431697e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,38.0822868347168,Volt DC,100,T,2W,F,F,11/11/2021,19:33:06,.044186280
10,3.533060953487e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,39.0807037353516,Volt DC,100,T,2W,F,F,11/11/2021,19:33:06,.136922520
11,3.510433452902e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,40.0797233581543,Volt DC,100,T,2W,F,F,11/11/2021,19:33:06,.229638140
12,3.511323302519e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,41.0825881958008,Volt DC,100,T,2W,F,F,11/11/2021,19:33:06,.322363720
13,3.488511720207e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,42.0812416076660,Volt DC,100,T,2W,F,F,11/11/2021,19:33:06,.415102140
14,3.484019907773e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,43.0809364318848,Volt DC,100,T,2W,F,F,11/11/2021,19:33:06,.507844240
15,3.487928188406e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,44.0838317871094,Volt DC,100,T,2W,F,F,11/11/2021,19:33:06,.600575900
16,3.473669494269e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,45.0830383300781,Volt DC,100,T,2W,F,F,11/11/2021,19:33:06,.693290200
17,3.469963121461e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,46.0824317932129,Volt DC,100,T,2W,F,F,11/11/2021,19:33:06,.786022740
18,3.477148493403e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,47.0852127075195,Volt DC,100,T,2W,F,F,11/11/2021,19:33:06,.878754000
19,3.464979454293e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,48.0843353271484,Volt DC,100,T,2W,F,F,11/11/2021,19:33:06,.971500920
20,3.464034307399e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,49.0837059020996,Volt DC,100,T,2W,F,F,11/11/2021,19:33:07,.064250120
21,3.474226105027e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,50.0870780944824,Volt DC,100,T,2W,F,F,11/11/2021,19:33:07,.156995520
22,3.461969390628e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,51.0862159729004,Volt DC,100,T,2W,F,F,11/11/2021,19:33:07,.249730560
23,3.470144656603e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,52.0887603759766,Volt DC,100,T,2W,F,F,11/11/2021,19:33:07,.342484000
24,3.458594073891e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,53.0868721008301,Volt DC,100,T,2W,F,F,11/11/2021,19:33:07,.435240280
25,3.460665902821e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,54.0859451293945,Volt DC,100,T,2W,F,F,11/11/2021,19:33:07,.527978560
26,3.472360549495e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,55.0890426635742,Volt DC,100,T,2W,F,F,11/11/2021,19:33:07,.620713560
27,3.464059409453e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,56.0884666442871,Volt DC,100,T,2W,F,F,11/11/2021,19:33:07,.713462200
28,3.463646862656e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,57.0872573852539,Volt DC,100,T,2W,F,F,11/11/2021,19:33:07,.806196260
29,3.476343044895e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,58.0902404785156,Volt DC,100,T,2W,F,F,11/11/2021,19:33:07,.898931100
30,3.466817361186e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,59.0890541076660,Volt DC,100,T,2W,F,F,11/11/2021,19:33:07,.991657680
31,3.469873627182e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,60.0882148742676,Volt DC,100,T,2W,F,F,11/11/2021,19:33:08,.084393500
32,3.50816626451e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,61.0906219482422,Volt DC,100,T,2W,F,F,11/11/2021,19:33:08,.177150000
33,3.535347786965e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,62.0893287658691,Volt DC,100,T,2W,F,F,11/11/2021,19:33:08,.269893060
34,3.562757410691e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,63.0888404846191,Volt DC,100,T,2W,F,F,11/11/2021,19:33:08,.362618420
35,3.589739935705e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,64.0913009643555,Volt DC,100,T,2W,F,F,11/11/2021,19:33:08,.455371000
36,3.595700036385e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,65.0900268554688,Volt DC,100,T,2W,F,F,11/11/2021,19:33:08,.548139600
37,3.609150007833e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,66.0892105102539,Volt DC,100,T,2W,F,F,11/11/2021,19:33:08,.640867420
38,3.628059857874e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,67.0911026000977,Volt DC,100,T,2W,F,F,11/11/2021,19:33:08,.733608820
39,3.685226693051e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,68.0861434936523,Volt DC,100,T,2W,F,F,11/11/2021,19:33:08,.826367940
40,3.967120210291e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,69.0857849121094,Volt DC,100,T,2W,F,F,11/11/2021,19:33:08,.919127360
41,4.332076423452e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,70.0825042724609,Volt DC,100,T,2W,F,F,11/11/2021,19:33:09,.011887800
42,4.77510438941e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,71.0796737670898,Volt DC,100,T,2W,F,F,11/11/2021,19:33:09,.104631300
43,5.289625914884e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,72.0806961059570,Volt DC,100,T,2W,F,F,11/11/2021,19:33:09,.197400240
44,5.850934394402e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,73.0774612426758,Volt DC,100,T,2W,F,F,11/11/2021,19:33:09,.290154080
45,6.487130303867e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,74.0737457275391,Volt DC,100,T,2W,F,F,11/11/2021,19:33:09,.382909100
46,7.195163925644e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,75.0744018554688,Volt DC,100,T,2W,F,F,11/11/2021,19:33:09,.475666240
