Style,Standard
Append Mode,1
Fill Mode,1
Capacity,100000
Count,49
Base Time Seconds,1636659034
Base Time Fractional,.115666620
Index,Reading,Unit,Range Digits,Disp Digits,Math,Start Group,Limit1 High,Limit1 Low,Limit2 High,Limit2 Low,Terminal,Questionable,Origin,Value,Unit,Digits,Output,Sense,Source Limit,Overtemp,Date,Time,Fractional Seconds
1,1.332485226158e-05,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,30.0021572113037,Volt DC,100,T,2W,F,F,11/11/2021,19:30:34,.115666620
2,2.061134000542e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,31.0089378356934,Volt DC,100,T,2W,F,F,11/11/2021,19:30:34,.371711280
3,4.861996058025e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,32.0892868041992,Volt DC,100,T,2W,F,F,11/11/2021,19:30:34,.464502880
4,5.691520709661e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,33.0857429504395,Volt DC,100,T,2W,F,F,11/11/2021,19:30:34,.557261520
5,6.606847455259e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,34.0794944763184,Volt DC,100,T,2W,F,F,11/11/2021,19:30:34,.650026300
6,7.625270518474e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,35.0733222961426,Volt DC,100,T,2W,F,F,11/11/2021,19:30:34,.742758340
7,8.717751188669e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,36.1281204223633,Volt DC,100,T,2W,F,F,11/11/2021,19:30:34,.835512500
8,3.796309465542e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,37.0920333862305,Volt DC,100,T,2W,F,F,11/11/2021,19:30:34,.928275200
9,3.57903263648e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,38.0822944641113,Volt DC,100,T,2W,F,F,11/11/2021,19:30:35,.021021940
10,3.519636447891e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,39.0805587768555,Volt DC,100,T,2W,F,F,11/11/2021,19:30:35,.113752700
11,3.499913873384e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,40.0797615051270,Volt DC,100,T,2W,F,F,11/11/2021,19:30:35,.206487500
12,3.499074227875e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,41.0826148986816,Volt DC,100,T,2W,F,F,11/11/2021,19:30:35,.299231680
13,3.478910002741e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,42.0812644958496,Volt DC,100,T,2W,F,F,11/11/2021,19:30:35,.391962580
14,3.475568519207e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,43.0809478759766,Volt DC,100,T,2W,F,F,11/11/2021,19:30:35,.484698500
15,3.480049417703e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,44.0838508605957,Volt DC,100,T,2W,F,F,11/11/2021,19:30:35,.577418220
16,3.46586057276e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,45.0831680297852,Volt DC,100,T,2W,F,F,11/11/2021,19:30:35,.670172940
17,3.46283413819e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,46.0825309753418,Volt DC,100,T,2W,F,F,11/11/2021,19:30:35,.762903680
18,3.469411240076e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,47.0851364135742,Volt DC,100,T,2W,F,F,11/11/2021,19:30:35,.855635100
19,3.458088758634e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,48.0842742919922,Volt DC,100,T,2W,F,F,11/11/2021,19:30:35,.948370080
20,3.456502599875e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,49.0836219787598,Volt DC,100,T,2W,F,F,11/11/2021,19:30:36,.041112640
21,3.467046553851e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,50.0870285034180,Volt DC,100,T,2W,F,F,11/11/2021,19:30:36,.133853520
22,3.45496700902e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,51.0861701965332,Volt DC,100,T,2W,F,F,11/11/2021,19:30:36,.226577100
23,3.463877146714e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,52.0887680053711,Volt DC,100,T,2W,F,F,11/11/2021,19:30:36,.319310260
24,3.451423617662e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,53.0867805480957,Volt DC,100,T,2W,F,F,11/11/2021,19:30:36,.412039360
25,3.454346733633e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,54.0858802795410,Volt DC,100,T,2W,F,F,11/11/2021,19:30:36,.504759300
26,3.466477573966e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,55.0889968872070,Volt DC,100,T,2W,F,F,11/11/2021,19:30:36,.597491640
27,3.45801054209e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,56.0883522033691,Volt DC,100,T,2W,F,F,11/11/2021,19:30:36,.690236400
28,3.45719345205e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,57.0871505737305,Volt DC,100,T,2W,F,F,11/11/2021,19:30:36,.782955680
29,3.470197043498e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,58.0902900695801,Volt DC,100,T,2W,F,F,11/11/2021,19:30:36,.875700100
30,3.461198866717e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,59.0889930725098,Volt DC,100,T,2W,F,F,11/11/2021,19:30:36,.968428440
31,3.46434826497e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,60.0883216857910,Volt DC,100,T,2W,F,F,11/11/2021,19:30:37,.061166040
32,3.49094189005e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,61.0905151367188,Volt DC,100,T,2W,F,F,11/11/2021,19:30:37,.153887440
33,3.521606413415e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,62.0893821716309,Volt DC,100,T,2W,F,F,11/11/2021,19:30:37,.246641920
34,3.551639383659e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,63.0889167785645,Volt DC,100,T,2W,F,F,11/11/2021,19:30:37,.339383500
35,3.580233169487e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,64.0912551879883,Volt DC,100,T,2W,F,F,11/11/2021,19:30:37,.432141340
36,3.586771344999e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,65.0899581909180,Volt DC,100,T,2W,F,F,11/11/2021,19:30:37,.524892260
37,3.601196658565e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,66.0892181396484,Volt DC,100,T,2W,F,F,11/11/2021,19:30:37,.617635760
