Style,Standard
Append Mode,1
Fill Mode,1
Capacity,100000
Count,49
Base Time Seconds,1636659206
Base Time Fractional,.251978280
Index,Reading,Unit,Range Digits,Disp Digits,Math,Start Group,Limit1 High,Limit1 Low,Limit2 High,Limit2 Low,Terminal,Questionable,Origin,Value,Unit,Digits,Output,Sense,Source Limit,Overtemp,Date,Time,Fractional Seconds
1,1.322210300714e-05,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,30.0021686553955,Volt DC,100,T,2W,F,F,11/11/2021,19:33:26,.251978280
2,2.049570684903e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,31.0087890625000,Volt DC,100,T,2W,F,F,11/11/2021,19:33:26,.508040860
3,4.84453921672e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,32.0893554687500,Volt DC,100,T,2W,F,F,11/11/2021,19:33:26,.600809820
4,5.674161002389e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,33.0858039855957,Volt DC,100,T,2W,F,F,11/11/2021,19:33:26,.693572380
5,6.5896572778e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,34.0794181823730,Volt DC,100,T,2W,F,F,11/11/2021,19:33:26,.786321360
6,7.608010491822e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,35.0732040405273,Volt DC,100,T,2W,F,F,11/11/2021,19:33:26,.879065140
7,8.699259342393e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,36.1362609863281,Volt DC,100,T,2W,F,F,11/11/2021,19:33:26,.971813020
8,3.767920861719e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,37.0909614562988,Volt DC,100,T,2W,F,F,11/11/2021,19:33:27,.064549240
9,3.574333095457e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,38.0826759338379,Volt DC,100,T,2W,F,F,11/11/2021,19:33:27,.157283520
10,3.511108661769e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,39.0809364318848,Volt DC,100,T,2W,F,F,11/11/2021,19:33:27,.250015400
11,3.492270843708e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,40.0800743103027,Volt DC,100,T,2W,F,F,11/11/2021,19:33:27,.342761840
12,3.490506423987e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,41.0830535888672,Volt DC,100,T,2W,F,F,11/11/2021,19:33:27,.435499140
13,3.470388764981e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,42.0816192626953,Volt DC,100,T,2W,F,F,11/11/2021,19:33:27,.528229260
14,3.467046553851e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,43.0814018249512,Volt DC,100,T,2W,F,F,11/11/2021,19:33:27,.620972560
15,3.472129901638e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,44.0841636657715,Volt DC,100,T,2W,F,F,11/11/2021,19:33:27,.713697280
16,3.457999628154e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,45.0835571289063,Volt DC,100,T,2W,F,F,11/11/2021,19:33:27,.806443680
17,3.455029218458e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,46.0829238891602,Volt DC,100,T,2W,F,F,11/11/2021,19:33:27,.899179180
18,3.461599044385e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,47.0855712890625,Volt DC,100,T,2W,F,F,11/11/2021,19:33:27,.991915520
19,3.449884025031e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,48.0847816467285,Volt DC,100,T,2W,F,F,11/11/2021,19:33:28,.084653980
20,3.448668940109e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,49.0840072631836,Volt DC,100,T,2W,F,F,11/11/2021,19:33:28,.177390320
21,3.459121580818e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,50.0874099731445,Volt DC,100,T,2W,F,F,11/11/2021,19:33:28,.270116300
22,3.447557537584e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,51.0866317749023,Volt DC,100,T,2W,F,F,11/11/2021,19:33:28,.362855360
23,3.455835394561e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,52.0891113281250,Volt DC,100,T,2W,F,F,11/11/2021,19:33:28,.455585680
24,3.443287641858e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,53.0871887207031,Volt DC,100,T,2W,F,F,11/11/2021,19:33:28,.548321160
25,3.445769107202e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,54.0863914489746,Volt DC,100,T,2W,F,F,11/11/2021,19:33:28,.641062480
26,3.458817809587e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,55.0894889831543,Volt DC,100,T,2W,F,F,11/11/2021,19:33:28,.733803260
27,3.449837095104e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,56.0889053344727,Volt DC,100,T,2W,F,F,11/11/2021,19:33:28,.826536440
28,3.448518327787e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,57.0876541137695,Volt DC,100,T,2W,F,F,11/11/2021,19:33:28,.919261380
29,3.461356027401e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,58.0907669067383,Volt DC,100,T,2W,F,F,11/11/2021,19:33:29,.012001520
30,3.452826786088e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,59.0896034240723,Volt DC,100,T,2W,F,F,11/11/2021,19:33:29,.104746260
31,3.455366459093e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,60.0886268615723,Volt DC,100,T,2W,F,F,11/11/2021,19:33:29,.197466600
32,3.486217246973e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,61.0911064147949,Volt DC,100,T,2W,F,F,11/11/2021,19:33:29,.290216760
33,3.516034485074e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,62.0898361206055,Volt DC,100,T,2W,F,F,11/11/2021,19:33:29,.382962320
34,3.545250729076e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,63.0894012451172,Volt DC,100,T,2W,F,F,11/11/2021,19:33:29,.475694280
35,3.573414142011e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,64.0917510986328,Volt DC,100,T,2W,F,F,11/11/2021,19:33:29,.568449980
36,3.579848271329e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,65.0904617309570,Volt DC,100,T,2W,F,F,11/11/2021,19:33:29,.661205780
37,3.593424116843e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,66.0896835327148,Volt DC,100,T,2W,F,F,11/11/2021,19:33:29,.753959180
38,3.61286183761e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,67.0916671752930,Volt DC,100,T,2W,F,F,11/11/2021,19:33:29,.846703240
39,3.660254151328e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,68.0870285034180,Volt DC,100,T,2W,F,F,11/11/2021,19:33:29,.939443620
40,3.921883399016e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,69.0870742797852,Volt DC,100,T,2W,F,F,11/11/2021,19:33:30,.032199240
41,4.255431485944e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,70.0837783813477,Volt DC,100,T,2W,F,F,11/11/2021,19:33:30,.124961860
42,4.663905201596e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,71.0808944702148,Volt DC,100,T,2W,F,F,11/11/2021,19:33:30,.217724640
43,5.146468174644e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,72.0818405151367,Volt DC,100,T,2W,F,F,11/11/2021,19:33:30,.310466340
44,5.674925341737e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,73.0787582397461,Volt DC,100,T,2W,F,F,11/11/2021,19:33:30,.403221540
45,6.270988524193e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,74.0750885009766,Volt DC,100,T,2W,F,F,11/11/2021,19:33:30,.495978180
46,6.944187771296e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,75.0757522583008,Volt DC,100,T,2W,F,F,11/11/2021,19:33:30,.588732200
47,7.648382597836e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,76.0722579956055,Volt DC,100,T,2W,F,F,11/11/2021,19:33:30,.681479080
48,8.408771100221e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,77.0698776245117,Volt DC,100,T,2W,F,F,11/11/2021,19:33:30,.774213240
