Style,Standard
Append Mode,1
Fill Mode,1
Capacity,100000
Count,49
Base Time Seconds,1636659111
Base Time Fractional,.292667900
Index,Reading,Unit,Range Digits,Disp Digits,Math,Start Group,Limit1 High,Limit1 Low,Limit2 High,Limit2 Low,Terminal,Questionable,Origin,Value,Unit,Digits,Output,Sense,Source Limit,Overtemp,Date,Time,Fractional Seconds
1,1.320141927863e-05,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,30.0021324157715,Volt DC,100,T,2W,F,F,11/11/2021,19:31:51,.292667900
2,2.04627194762e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,31.0088443756104,Volt DC,100,T,2W,F,F,11/11/2021,19:31:51,.548712400
3,4.844674913329e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,32.0893592834473,Volt DC,100,T,2W,F,F,11/11/2021,19:31:51,.641481840
4,5.672464976669e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,33.0858078002930,Volt DC,100,T,2W,F,F,11/11/2021,19:31:51,.734253760
5,6.586959352717e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,34.0794868469238,Volt DC,100,T,2W,F,F,11/11/2021,19:31:51,.827001540
6,7.605119753862e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,35.0733718872070,Volt DC,100,T,2W,F,F,11/11/2021,19:31:51,.919761740
7,8.699576574145e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,36.1172294616699,Volt DC,100,T,2W,F,F,11/11/2021,19:31:52,.012512120
8,3.848949927487e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,37.0942001342773,Volt DC,100,T,2W,F,F,11/11/2021,19:31:52,.105251860
9,3.587967876229e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,38.0824356079102,Volt DC,100,T,2W,F,F,11/11/2021,19:31:52,.197994720
10,3.526619912009e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,39.0807762145996,Volt DC,100,T,2W,F,F,11/11/2021,19:31:52,.290728320
11,3.505237327772e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,40.0798988342285,Volt DC,100,T,2W,F,F,11/11/2021,19:31:52,.383445100
12,3.503972766339e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,41.0828132629395,Volt DC,100,T,2W,F,F,11/11/2021,19:31:52,.476180180
13,3.483364343992e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,42.0813522338867,Volt DC,100,T,2W,F,F,11/11/2021,19:31:52,.568903000
14,3.479902079562e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,43.0811538696289,Volt DC,100,T,2W,F,F,11/11/2021,19:31:52,.661645280
15,3.484593617031e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,44.0839385986328,Volt DC,100,T,2W,F,F,11/11/2021,19:31:52,.754382320
