Style,Standard
Append Mode,1
Fill Mode,1
Capacity,100000
Count,46
Base Time Seconds,1636657987
Base Time Fractional,.588566560
Index,Reading,Unit,Range Digits,Disp Digits,Math,Start Group,Limit1 High,Limit1 Low,Limit2 High,Limit2 Low,Terminal,Questionable,Origin,Value,Unit,Digits,Output,Sense,Source Limit,Overtemp,Date,Time,Fractional Seconds
1,1.396098923578e-05,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,30.0021762847900,Volt DC,100,T,2W,F,F,11/11/2021,19:13:07,.588566560
2,2.137396404578e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,31.0093231201172,Volt DC,100,T,2W,F,F,11/11/2021,19:13:07,.844603980
3,4.985657869838e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,32.0884895324707,Volt DC,100,T,2W,F,F,11/11/2021,19:13:07,.937367120
4,5.815768599859e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,33.0852661132813,Volt DC,100,T,2W,F,F,11/11/2021,19:13:08,.030115820
5,6.734194175806e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,34.0794372558594,Volt DC,100,T,2W,F,F,11/11/2021,19:13:08,.122867960
6,7.751116208965e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,35.0736579895020,Volt DC,100,T,2W,F,F,11/11/2021,19:13:08,.215627940
7,8.741270721657e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,36.1917343139648,Volt DC,100,T,2W,F,F,11/11/2021,19:13:08,.308355740
8,3.72646136384e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,37.0836219787598,Volt DC,100,T,2W,F,F,11/11/2021,19:13:08,.401101480
9,3.615170862759e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,38.0812339782715,Volt DC,100,T,2W,F,F,11/11/2021,19:13:08,.493855700
10,3.556445517461e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,39.0793876647949,Volt DC,100,T,2W,F,F,11/11/2021,19:13:08,.586610980
11,3.537955853972e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,40.0785140991211,Volt DC,100,T,2W,F,F,11/11/2021,19:13:08,.679337180
12,3.538393502822e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,41.0814743041992,Volt DC,100,T,2W,F,F,11/11/2021,19:13:08,.772100580
13,3.518260928104e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,42.0800590515137,Volt DC,100,T,2W,F,F,11/11/2021,19:13:08,.864839960
14,3.515059870551e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,43.0798492431641,Volt DC,100,T,2W,F,F,11/11/2021,19:13:08,.957557900
15,3.520232348819e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,44.0827941894531,Volt DC,100,T,2W,F,F,11/11/2021,19:13:09,.050304260
16,3.505369750201e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,45.0820350646973,Volt DC,100,T,2W,F,F,11/11/2021,19:13:09,.143031060
17,3.502654726617e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,46.0814476013184,Volt DC,100,T,2W,F,F,11/11/2021,19:13:09,.235755880
18,3.509865928208e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,47.0842361450195,Volt DC,100,T,2W,F,F,11/11/2021,19:13:09,.328500960
19,3.498291334836e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,48.0833816528320,Volt DC,100,T,2W,F,F,11/11/2021,19:13:09,.421254060
20,3.496181670926e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,49.0827369689941,Volt DC,100,T,2W,F,F,11/11/2021,19:13:09,.513997800
21,3.507166911731e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,50.0860214233398,Volt DC,100,T,2W,F,F,11/11/2021,19:13:09,.606716700
