Style,Standard
Append Mode,1
Fill Mode,1
Capacity,100000
Count,49
Base Time Seconds,1636659229
Base Time Fractional,.210331600
Index,Reading,Unit,Range Digits,Disp Digits,Math,Start Group,Limit1 High,Limit1 Low,Limit2 High,Limit2 Low,Terminal,Questionable,Origin,Value,Unit,Digits,Output,Sense,Source Limit,Overtemp,Date,Time,Fractional Seconds
1,1.329759379587e-05,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,30.0022068023682,Volt DC,100,T,2W,F,F,11/11/2021,19:33:49,.210331600
2,2.062208113784e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,31.0088958740234,Volt DC,100,T,2W,F,F,11/11/2021,19:33:49,.466391260
3,4.855938459514e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,32.0892944335938,Volt DC,100,T,2W,F,F,11/11/2021,19:33:49,.559169100
4,5.685946234735e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,33.0856781005859,Volt DC,100,T,2W,F,F,11/11/2021,19:33:49,.651911000
5,6.603009387618e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,34.0793457031250,Volt DC,100,T,2W,F,F,11/11/2021,19:33:49,.744659560
6,7.623480632901e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,35.0731925964355,Volt DC,100,T,2W,F,F,11/11/2021,19:33:49,.837410280
7,8.710634574527e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,36.1477394104004,Volt DC,100,T,2W,F,F,11/11/2021,19:33:49,.930153200
8,3.739994645002e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,37.0892944335938,Volt DC,100,T,2W,F,F,11/11/2021,19:33:50,.022893800
9,3.572217610781e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,38.0824661254883,Volt DC,100,T,2W,F,F,11/11/2021,19:33:50,.115631860
10,3.515354183037e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,39.0809135437012,Volt DC,100,T,2W,F,F,11/11/2021,19:33:50,.208383100
