Style,Standard
Append Mode,1
Fill Mode,1
Capacity,100000
Count,49
Base Time Seconds,1636659013
Base Time Fractional,.235739000
Index,Reading,Unit,Range Digits,Disp Digits,Math,Start Group,Limit1 High,Limit1 Low,Limit2 High,Limit2 Low,Terminal,Questionable,Origin,Value,Unit,Digits,Output,Sense,Source Limit,Overtemp,Date,Time,Fractional Seconds
1,1.343556050415e-05,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,30.0021533966064,Volt DC,100,T,2W,F,F,11/11/2021,19:30:13,.235739000
2,2.074282019748e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,31.0089855194092,Volt DC,100,T,2W,F,F,11/11/2021,19:30:13,.491803760
3,4.878812251263e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,32.0891227722168,Volt DC,100,T,2W,F,F,11/11/2021,19:30:13,.584584400
4,5.710669211112e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,33.0855827331543,Volt DC,100,T,2W,F,F,11/11/2021,19:30:13,.677345440
5,6.628737173742e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,34.0792770385742,Volt DC,100,T,2W,F,F,11/11/2021,19:30:13,.770103200
6,7.650013139937e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,35.0732345581055,Volt DC,100,T,2W,F,F,11/11/2021,19:30:13,.862852920
7,8.748265099712e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,36.1093292236328,Volt DC,100,T,2W,F,F,11/11/2021,19:30:13,.955617420
8,3.900526280631e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,37.0958137512207,Volt DC,100,T,2W,F,F,11/11/2021,19:30:14,.048347680
9,3.599070259952e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,38.0821075439453,Volt DC,100,T,2W,F,F,11/11/2021,19:30:14,.141079020
10,3.534609277267e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,39.0804786682129,Volt DC,100,T,2W,F,F,11/11/2021,19:30:14,.233819500
11,3.512367766234e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,40.0796051025391,Volt DC,100,T,2W,F,F,11/11/2021,19:30:14,.326544480
12,3.509943417157e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,41.0824890136719,Volt DC,100,T,2W,F,F,11/11/2021,19:30:14,.419275440
13,3.489060691209e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,42.0811042785645,Volt DC,100,T,2W,F,F,11/11/2021,19:30:14,.512012860
14,3.484632543405e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,43.0807914733887,Volt DC,100,T,2W,F,F,11/11/2021,19:30:14,.604766120
15,3.48941757693e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,44.0837707519531,Volt DC,100,T,2W,F,F,11/11/2021,19:30:14,.697501940
16,3.475316407275e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,45.0829620361328,Volt DC,100,T,2W,F,F,11/11/2021,19:30:14,.790212840
17,3.471351737971e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,46.0824546813965,Volt DC,100,T,2W,F,F,11/11/2021,19:30:14,.882957960
18,3.477476639091e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,47.0851554870605,Volt DC,100,T,2W,F,F,11/11/2021,19:30:14,.975687300
19,3.466691850917e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,48.0842018127441,Volt DC,100,T,2W,F,F,11/11/2021,19:30:15,.068419600
20,3.463645043666e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,49.0836677551270,Volt DC,100,T,2W,F,F,11/11/2021,19:30:15,.161159820
21,3.473565084278e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,50.0869369506836,Volt DC,100,T,2W,F,F,11/11/2021,19:30:15,.253907720
22,3.462040695013e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,51.0862541198730,Volt DC,100,T,2W,F,F,11/11/2021,19:30:15,.346641300
23,3.470256342553e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,52.0886688232422,Volt DC,100,T,2W,F,F,11/11/2021,19:30:15,.439375380
24,3.458336504991e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,53.0867500305176,Volt DC,100,T,2W,F,F,11/11/2021,19:30:15,.532096220
25,3.461138476268e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,54.0859298706055,Volt DC,100,T,2W,F,F,11/11/2021,19:30:15,.624848720
26,3.472490789136e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,55.0889892578125,Volt DC,100,T,2W,F,F,11/11/2021,19:30:15,.717567580
27,3.464211113169e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,56.0884895324707,Volt DC,100,T,2W,F,F,11/11/2021,19:30:15,.810308960
28,3.462997119641e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,57.0872993469238,Volt DC,100,T,2W,F,F,11/11/2021,19:30:15,.903056720
29,3.475713674561e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,58.0903358459473,Volt DC,100,T,2W,F,F,11/11/2021,19:30:15,.995797900
30,3.465993358986e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,59.0891571044922,Volt DC,100,T,2W,F,F,11/11/2021,19:30:16,.088543420
31,3.469122020761e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,60.0883331298828,Volt DC,100,T,2W,F,F,11/11/2021,19:30:16,.181281180
32,3.502746403683e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,61.0906867980957,Volt DC,100,T,2W,F,F,11/11/2021,19:30:16,.274032920
33,3.531320180628e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,62.0893936157227,Volt DC,100,T,2W,F,F,11/11/2021,19:30:16,.366784580
34,3.559555989341e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,63.0888824462891,Volt DC,100,T,2W,F,F,11/11/2021,19:30:16,.459519580
35,3.587687024265e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,64.0913085937500,Volt DC,100,T,2W,F,F,11/11/2021,19:30:16,.552256020
36,3.593164001359e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,65.0900192260742,Volt DC,100,T,2W,F,F,11/11/2021,19:30:16,.645008640
37,3.607023245422e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,66.0893630981445,Volt DC,100,T,2W,F,F,11/11/2021,19:30:16,.737748100
38,3.625948738772e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,67.0912170410156,Volt DC,100,T,2W,F,F,11/11/2021,19:30:16,.830486080
39,3.673589526443e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,68.0863952636719,Volt DC,100,T,2W,F,F,11/11/2021,19:30:16,.923195580
40,3.945111529902e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,69.0860824584961,Volt DC,100,T,2W,F,F,11/11/2021,19:30:17,.015954180
