Style,Standard
Append Mode,1
Fill Mode,1
Capacity,100000
Count,49
Base Time Seconds,1636659409
Base Time Fractional,.893109800
Index,Reading,Unit,Range Digits,Disp Digits,Math,Start Group,Limit1 High,Limit1 Low,Limit2 High,Limit2 Low,Terminal,Questionable,Origin,Value,Unit,Digits,Output,Sense,Source Limit,Overtemp,Date,Time,Fractional Seconds
1,1.349162812403e-05,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,30.0021400451660,Volt DC,100,T,2W,F,F,11/11/2021,19:36:49,.893109800
2,2.08536930586e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,31.0089187622070,Volt DC,100,T,2W,F,F,11/11/2021,19:36:50,.149159160
3,4.875142622041e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,32.0891189575195,Volt DC,100,T,2W,F,F,11/11/2021,19:36:50,.241938640
4,5.713296923204e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,33.0855331420898,Volt DC,100,T,2W,F,F,11/11/2021,19:36:50,.334679020
5,6.635887257289e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,34.0791206359863,Volt DC,100,T,2W,F,F,11/11/2021,19:36:50,.427435380
6,7.66087177908e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,35.0730209350586,Volt DC,100,T,2W,F,F,11/11/2021,19:36:50,.520188920
7,8.744906517677e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,36.1573524475098,Volt DC,100,T,2W,F,F,11/11/2021,19:36:50,.612952760
8,3.728891169885e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,37.0884933471680,Volt DC,100,T,2W,F,F,11/11/2021,19:36:50,.705698180
9,3.570485569071e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,38.0825729370117,Volt DC,100,T,2W,F,F,11/11/2021,19:36:50,.798426980
10,3.510598980938e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,39.0808753967285,Volt DC,100,T,2W,F,F,11/11/2021,19:36:50,.891173720
11,3.491888128337e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,40.0801010131836,Volt DC,100,T,2W,F,F,11/11/2021,19:36:50,.983929000
12,3.491027382552e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,41.0829582214355,Volt DC,100,T,2W,F,F,11/11/2021,19:36:51,.076660360
13,3.470896990621e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,42.0815658569336,Volt DC,100,T,2W,F,F,11/11/2021,19:36:51,.169402020
14,3.468055729172e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,43.0812683105469,Volt DC,100,T,2W,F,F,11/11/2021,19:36:51,.262159100
15,3.47331406374e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,44.0842056274414,Volt DC,100,T,2W,F,F,11/11/2021,19:36:51,.354898960
16,3.458758510533e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,45.0833625793457,Volt DC,100,T,2W,F,F,11/11/2021,19:36:51,.447642500
17,3.455986006884e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,46.0827522277832,Volt DC,100,T,2W,F,F,11/11/2021,19:36:51,.540363500
18,3.462807580945e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,47.0853881835938,Volt DC,100,T,2W,F,F,11/11/2021,19:36:51,.633089420
19,3.451428347034e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,48.0845222473145,Volt DC,100,T,2W,F,F,11/11/2021,19:36:51,.725833760
20,3.449912037468e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,49.0838737487793,Volt DC,100,T,2W,F,F,11/11/2021,19:36:51,.818572920
21,3.460736843408e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,50.0872268676758,Volt DC,100,T,2W,F,F,11/11/2021,19:36:51,.911310100
